Date | Hour | Time Block,A1,A2,E1,E2,N1,N2,N3,S1,S2,S3,W1,W2,W3,MCP
16:15 - 16:30,2500.02,2500.02,2500.02,2500.02,2500.02,2500.02,2500.02,2500.02,2500.02,2500.02,2500.02,2500.02,2500.02,2500.02
16:30 - 16:45,2433.50,2433.50,2433.50,2433.50,2433.50,2433.50,2433.50,2433.50,2433.50,2433.50,2433.50,2433.50,2433.50,2433.50
16:45 - 17:00,2449.27,2449.27,2449.27,2449.27,2449.27,2449.27,2449.27,2449.27,2449.27,2449.27,2449.27,2449.27,2449.27,2449.27
18,17:00 - 17:15,2497.10,2497.10,2497.10,2497.10,2497.10,2497.10,2497.10,2497.10,2497.10,2497.10,2497.10,2497.10,2497.10,2497.10
17:15 - 17:30,2497.27,2497.27,2497.27,2497.27,2497.27,2497.27,2497.27,2497.27,2497.27,2497.27,2497.27,2497.27,2497.27,2497.27
17:30 - 17:45,2509.81,2509.81,2509.81,2509.81,2509.81,2509.81,2509.81,2509.81,2509.81,2509.81,2509.81,2509.81,2509.81,2509.81
17:45 - 18:00,2369.88,2369.88,2369.88,2369.88,2369.88,2369.88,2369.88,2369.88,2369.88,2369.88,2369.88,2369.88,2369.88,2369.88
19,18:00 - 18:15,2189.77,2189.77,2189.77,2189.77,2189.77,2189.77,2189.77,2189.77,2189.77,2189.77,2189.77,2189.77,2189.77,2189.77
18:15 - 18:30,2289.54,2289.54,2289.54,2289.54,2289.54,2289.54,2289.54,2289.54,2289.54,2289.54,2289.54,2289.54,2289.54,2289.54
18:30 - 18:45,2799.20,2799.20,2799.20,2799.20,2799.20,2799.20,2799.20,2799.20,2799.20,2799.20,2799.20,2799.20,2799.20,2799.20
18:45 - 19:00,2799.55,2799.55,2799.55,2799.55,2799.55,2799.55,2799.55,2799.55,2799.55,2799.55,2799.55,2799.55,2799.55,2799.55
20,19:00 - 19:15,2902.91,2902.91,2902.91,2902.91,2902.91,2902.91,2902.91,2902.91,2902.91,2902.91,2902.91,2902.91,2902.91,2902.91
19:15 - 19:30,2995.62,2995.62,2995.62,2995.62,2995.62,2995.62,2995.62,2995.62,2995.62,2995.62,2995.62,2995.62,2995.62,2995.62
19:30 - 19:45,2992.34,2992.34,2992.34,2992.34,2992.34,2992.34,2992.34,2992.34,2992.34,2992.34,2992.34,2992.34,2992.34,2992.34
19:45 - 20:00,2899.73,2899.73,2899.73,2899.73,2899.73,2899.73,2899.73,2899.73,2899.73,2899.73,2899.73,2899.73,2899.73,2899.73
21,20:00 - 20:15,2667.62,2667.62,2667.62,2667.62,2667.62,2667.62,2667.62,2667.62,2667.62,2667.62,2667.62,2667.62,2667.62,2667.62
20:15 - 20:30,2609.85,2609.85,2609.85,2609.85,2609.85,2609.85,2609.85,2609.85,2609.85,2609.85,2609.85,2609.85,2609.85,2609.85
20:30 - 20:45,2593.71,2593.71,2593.71,2593.71,2593.71,2593.71,2593.71,2593.71,2593.71,2593.71,2593.71,2593.71,2593.71,2593.71
20:45 - 21:00,2593.16,2593.16,2593.16,2593.16,2593.16,2593.16,2593.16,2593.16,2593.16,2593.16,2593.16,2593.16,2593.16,2593.16
22,21:00 - 21:15,2592.69,2592.69,2592.69,2592.69,2592.69,2592.69,2592.69,2592.69,2592.69,2592.69,2592.69,2592.69,2592.69,2592.69
